1	0.46	0.02	0.012	0.6
2	0.46	0.012	0.01	0.46
3	0.46	0.12	0.01	0.26
4	0.46	0.02	0.012	0.46
5	0.46	0.012	0.01	0.46
6	0.46	0.012	0.01	0.46
7	0.46	0.12	0.01	0.26
8	0.46	0.02	0.012	0.46
9	0.46	0.012	0.01	0.46
10	0.46	0.02	0.012	0.46
11	0.46	0.12	0.01	0.26
12	0.46	0.024	0.016	0.46
13	0.46	0.012	0.01	0.46
14	0.46	0.02	0.012	0.46
15	0.46	0.12	0.01	0.26
16	0.46	0.024	0.016	0.46
17	0.46	0.012	0.01	0.46
18	0.46	0.02	0.012	0.46
19	0.46	0.12	0.01	0.26
20	0.46	0.02	0.012	0.46
21	0.46	0.012	0.01	0.46
22	0.46	0.02	0.012	0.46
23	0.46	0.12	0.01	0.26
24	0.46	0.02	0.012	0.46
25	0.46	0.012	0.01	0.46
26	0.46	0.012	0.01	0.46
27	0.46	0.12	0.01	0.26
28	0.46	0.02	0.012	0.6
29	0.46	0.012	0.01	0.46
30	0.46	0.012	0.01	0.46
31	0.46	0.012	0.01	0.46
32	0.46	0.012	0.01	0.46
33	0.46	0.012	0.01	0.46
34	0.46	0.012	0.01	0.46
35	0.46	0.012	0.01	0.46
36	0.46	0.012	0.01	0.46
37	0.46	0.012	0.01	0.46
38	0.46	0.012	0.01	0.46
39	0.46	0.012	0.01	0.46
40	0.46	0.012	0.01	0.46
41	0.46	0.012	0.01	0.46
42	0.46	0.012	0.01	0.46
43	0.46	0.012	0.01	0.46
44	0.46	0.012	0.01	0.46
45	0.46	0.012	0.01	0.46
46	0.46	0.012	0.01	0.46
47	0.46	0.012	0.01	0.46
48	0.46	0.012	0.01	0.46
49	0.46	0.012	0.01	0.46
50	0.46	0.012	0.01	0.46
51	0.46	0.012	0.01	0.46
52	0.46	0.012	0.01	0.46
53	0.46	0.012	0.01	0.46
54	0.46	0.012	0.01	0.46
55	0.46	0.012	0.01	0.46
56	0.46	0.012	0.01	0.46
57	0.46	0.012	0.01	0.46
58	0.46	0.012	0.01	0.46
59	0.46	0.012	0.01	0.46
60	0.46	0.012	0.01	0.46
61	0.46	0.012	0.01	0.46
62	0.46	0.012	0.01	0.46
63	0.46	0.012	0.01	0.46
64	0.46	0.012	0.01	0.46
65	0.46	0.012	0.01	0.46
66	0.46	0.012	0.01	0.46
67	0.46	0.012	0.01	0.46
68	0.46	0.012	0.01	0.46
69	0.46	0.012	0.01	0.46
70	0.46	0.012	0.01	0.46
71	0.46	0.012	0.01	0.46
72	0.46	0.012	0.01	0.46
73	0.46	0.012	0.01	0.46
74	0.46	0.012	0.01	0.46
75	0.46	0.012	0.01	0.46
76	0.46	0.012	0.01	0.46
77	0.46	0.012	0.01	0.46
